"","G","R","total_cost","alpha","bias","mse","coverage"
"1",3,329,9990,0,-0.0773981948922356,0.721434366576315,0.57
"2",4,246,10000,0,-0.0533684247052434,0.466049049189609,0.67
"3",5,196,10000,0,-0.059010296994077,0.549162145772179,0.67
"4",6,162,9960,0,-0.0204704566600992,0.444410534184668,0.74
"5",7,138,9940,0,0.078036433775351,0.32352532491567,0.8
"6",8,121,10000,0,0.0356109093668028,0.324719178966053,0.89
"7",9,107,9990,0,-0.0436045536922938,0.249155052057073,0.87
"8",10,96,10000,0,-0.0648447303010928,0.239636107549507,0.91
"9",11,86,9900,0,-0.00272733425938043,0.208275665010003,0.9
"10",12,79,9960,0,0.037970178377313,0.149133022880541,0.95
"11",13,72,9880,0,-0.00103575800313432,0.141165412138658,0.93
"12",14,67,9940,0,-0.0147119687036152,0.151538555470783,0.93
"13",15,62,9900,0,-0.0558999859574045,0.148477168023249,0.91
"14",16,58,9920,0,0.0044824188869963,0.133843033433398,0.9
"15",17,54,9860,0,0.0113989061215544,0.105131751010023,0.93
"16",18,51,9900,0,0.0344397033603693,0.0912843140035687,0.96
"17",19,48,9880,0,-0.0431629753307432,0.111662516915434,0.91
"18",20,46,10000,0,-0.0147904280156974,0.106649266841395,0.92
"19",21,43,9870,0,0.0179705792384716,0.103608880254652,0.9
"20",22,41,9900,0,-0.042651527234196,0.0919187755752116,0.93
"21",23,39,9890,0,0.0307016422380094,0.0925764359008052,0.93
"22",24,37,9840,0,0.0171852127320669,0.0805904023397764,0.92
"23",25,36,10000,0,-0.039879800291005,0.0721684538659897,0.95
"24",26,34,9880,0,-0.0307190430454504,0.0943373103081514,0.91
"25",27,33,9990,0,0.00500012030864372,0.0687067663063594,0.95
"26",28,31,9800,0,0.0149289143012475,0.0767155539790134,0.95
"27",29,30,9860,0,0.0178262648734863,0.0982138087069621,0.9
"28",30,29,9900,0,0.0131943280116862,0.0740689059445884,0.93
"29",31,28,9920,0,0.0209091365938152,0.0719387251644462,0.93
"30",32,27,9920,0,0.0180489111428388,0.0612729962506906,0.97
"31",33,26,9900,0,-0.0256900417235927,0.0569398150074636,0.95
"32",34,25,9860,0,0.00753246062883939,0.0620132510582652,0.93
"33",35,24,9800,0,0.0510162086764882,0.0692717673036947,0.93
"34",36,23,9720,0,-0.00798961259343456,0.0822816199243309,0.87
"35",37,23,9990,0,-0.0205204540474069,0.0631141272410512,0.94
"36",38,22,9880,0,-0.0211033925419286,0.0504503981775195,0.93
"37",39,21,9750,0,0.0400544929489952,0.0522390939336435,0.94
"38",40,21,10000,0,-0.00468448924516335,0.0681734343104278,0.89
"39",41,20,9840,0,0.015111009263343,0.0528491858732223,0.92
"40",42,19,9660,0,-0.0016288650645217,0.0602094229268293,0.92
"41",43,19,9890,0,-0.015071758416042,0.0558657088386289,0.96
"42",44,18,9680,0,-0.0091890573282426,0.0531936255660344,0.92
"43",45,18,9900,0,0.0251894013907035,0.0506591347901681,0.87
"44",46,17,9660,0,-0.012379135713507,0.0498950162430799,0.92
"45",47,17,9870,0,-0.0420677020657566,0.0432508892636374,0.95
"46",48,16,9600,0,-0.00169687673795321,0.0523451517693496,0.96
"47",49,16,9800,0,-0.00525853058144521,0.0417008932152768,0.97
"48",50,16,10000,0,-0.00568943985176712,0.0459667441177373,0.93
"49",51,15,9690,0,0.0291290186562808,0.0498245003780204,0.93
"50",52,15,9880,0,0.0127068419179579,0.0425519230788757,0.97
"51",53,14,9540,0,-0.014877415475537,0.0360225865127042,0.97
"52",54,14,9720,0,0.025589095409157,0.0406122683171666,0.95
"53",55,14,9900,0,0.00878399077097258,0.0460850454626867,0.94
"54",56,13,9520,0,-0.0112800006105139,0.048420862574551,0.92
"55",57,13,9690,0,0.0215347462963655,0.0412669224099802,0.94
"56",58,13,9860,0,0.0165026884936261,0.0428244946870267,0.94
"57",59,12,9440,0,-0.0258228926525168,0.0460450091489294,0.92
"58",60,12,9600,0,0.011417467166625,0.0508311892267716,0.91
"59",61,12,9760,0,0.0223220148240023,0.038675033739244,0.95
"60",62,12,9920,0,0.028792591638683,0.0384150722582156,0.94
"61",63,11,9450,0,0.00297513960867735,0.0430116756584088,0.94
"62",64,11,9600,0,-0.00101657793570092,0.0360038093382486,0.96
"63",65,11,9750,0,0.0178203529797157,0.0351796104725049,0.96
"64",66,11,9900,0,0.00273176657541929,0.031239505331376,0.96
"65",67,10,9380,0,-0.0044795401397878,0.0323505540225549,0.96
"66",68,10,9520,0,-0.0143837512955681,0.0340594978173796,0.93
"67",69,10,9660,0,-0.00788519642360863,0.04398121040342,0.92
"68",70,10,9800,0,0.0244986560963938,0.0301242184761388,0.96
"69",71,10,9940,0,-0.0115079764112429,0.0360870664581167,0.92
"70",72,9,9360,0,0.0147744864416628,0.0313204207810275,0.94
"71",73,9,9490,0,0.000790129895886671,0.0401751616362929,0.93
"72",74,9,9620,0,0.00750602484465412,0.0276431425835233,0.97
"73",75,9,9750,0,0.0347865392203351,0.0421164305558424,0.86
"74",76,9,9880,0,0.0187451262061202,0.0434700563472213,0.9
"75",77,8,9240,0,0.0176530045731177,0.034782505485018,0.95
"76",78,8,9360,0,0.0309490871618264,0.0297958080705437,0.96
"77",79,8,9480,0,0.0249472294205262,0.0363238818638457,0.9
"78",80,8,9600,0,0.00979351012577168,0.0303928931481565,0.95
"79",81,8,9720,0,0.00974748372768253,0.0243794141662996,0.96
"80",82,8,9840,0,-0.00801160126931721,0.0309375133433949,0.92
"81",83,8,9960,0,-0.00184144592140972,0.0328157883776016,0.92
"82",84,7,9240,0,0.00591065109566002,0.0252957114819763,0.97
"83",85,7,9350,0,0.00589493500361693,0.0338294932220804,0.92
"84",86,7,9460,0,0.0128004022018917,0.0255974234234891,0.96
"85",87,7,9570,0,-0.00760543257170399,0.0279191639522512,0.94
"86",88,7,9680,0,0.0206532768125459,0.0321155204729523,0.94
"87",89,7,9790,0,0.021395810271186,0.0342137929521242,0.93
"88",90,7,9900,0,0.0064797091095492,0.0300383159484478,0.94
"89",91,6,9100,0,-0.0349453689852069,0.0325567530879562,0.94
"90",92,6,9200,0,-0.0184324501305848,0.0347330997885014,0.94
"91",93,6,9300,0,-0.0117831637944819,0.0278839628863003,0.97
"92",94,6,9400,0,8.24261693719297e-05,0.0283936960879032,0.95
"93",95,6,9500,0,0.00596808343267197,0.0260926845380229,0.97
"94",96,6,9600,0,-0.00373603398082467,0.0247785164879678,0.95
"95",97,6,9700,0,-0.0276602134014111,0.0293558907582663,0.95
"96",98,6,9800,0,0.00114810018267231,0.0299388048513087,0.92
"97",99,6,9900,0,-0.0106985283154812,0.0211727143888788,0.96
"98",100,6,10000,0,-6.91055364365756e-06,0.0216001194822992,0.95
"99",101,5,9090,0,0.0184138899038763,0.0249835960535104,0.92
"100",102,5,9180,0,0.0194455327604982,0.0386709086621748,0.86
"101",103,5,9270,0,-0.012078013837419,0.0270344555587575,0.98
"102",104,5,9360,0,0.0210759849611778,0.0277360169623275,0.96
"103",105,5,9450,0,0.017958536736225,0.0274186343871654,0.95
"104",106,5,9540,0,0.025859148503609,0.0284901749128978,0.94
"105",107,5,9630,0,-0.012541484978164,0.0208766233497329,0.98
"106",108,5,9720,0,0.000151261390911817,0.0221195892376222,0.97
"107",109,5,9810,0,0.0233251828492709,0.0281376004138584,0.96
"108",110,5,9900,0,0.0289711745853619,0.0258307904218941,0.93
