"","G","R","total_cost","beta","bias","mse","coverage"
"1",3,329,9990,0,0.0370382481806486,0.842262120203327,0.47
"2",4,246,10000,0,0.100613552958759,0.643558317633829,0.58
"3",5,196,10000,0,-0.180633773110634,0.578322522228786,0.72
"4",6,162,9960,0,-0.0491850200814923,0.371899365071884,0.79
"5",7,138,9940,0,-0.042700098214115,0.242460707132628,0.91
"6",8,121,10000,0,0.0839022538166226,0.279050404361407,0.88
"7",9,107,9990,0,0.0731882776939846,0.307795022392919,0.8
"8",10,96,10000,0,-0.0822793617530333,0.21949088398243,0.87
"9",11,86,9900,0,-0.0860456631775804,0.200168422997543,0.88
"10",12,79,9960,0,0.0362029615421285,0.213648373710933,0.83
"11",13,72,9880,0,0.030441358309501,0.169584067155913,0.94
"12",14,67,9940,0,0.0248982334021049,0.147173079680017,0.9
"13",15,62,9900,0,0.0569507087797317,0.182778171706389,0.87
"14",16,58,9920,0,-0.00210673879104821,0.132414847425765,0.91
"15",17,54,9860,0,0.0494963939939117,0.109023417455944,0.93
"16",18,51,9900,0,-0.0540254148968336,0.145868301239937,0.88
"17",19,48,9880,0,0.0325035009535328,0.131276424272453,0.88
"18",20,46,10000,0,-0.0245461579668367,0.11665857655757,0.89
"19",21,43,9870,0,-0.0210123592203378,0.105337411229527,0.94
"20",22,41,9900,0,0.045206868071762,0.11173529168843,0.87
"21",23,39,9890,0,-0.0361379842254462,0.0972330572049523,0.94
"22",24,37,9840,0,-0.0146280742509245,0.0720319726359457,0.94
"23",25,36,10000,0,0.0382495212018686,0.0871918216350505,0.94
"24",26,34,9880,0,0.0105615651276026,0.06737609584911,0.98
"25",27,33,9990,0,0.0359585737475712,0.0725446662014073,0.96
"26",28,31,9800,0,-0.00724196715705008,0.073648511245361,0.92
"27",29,30,9860,0,-0.0125295226683764,0.0851527549893713,0.92
"28",30,29,9900,0,-0.0126776865020448,0.0806277235652767,0.9
"29",31,28,9920,0,-0.00392573671947235,0.0676597972777521,0.93
"30",32,27,9920,0,-0.00352659506285054,0.0653163936151302,0.96
"31",33,26,9900,0,-0.0162120737948424,0.0703324835119936,0.92
"32",34,25,9860,0,0.00046534272574844,0.0650358959031427,0.9
"33",35,24,9800,0,0.0167101692341496,0.072656080741366,0.91
"34",36,23,9720,0,-0.0254824481983067,0.0699700747674767,0.95
"35",37,23,9990,0,-0.0559026288365282,0.0663513873644529,0.93
"36",38,22,9880,0,0.0119879267102228,0.0419323383989275,0.98
"37",39,21,9750,0,-0.0240495391604848,0.0691496608645823,0.92
"38",40,21,10000,0,-0.0193402610580111,0.041241260902495,0.95
"39",41,20,9840,0,0.0135924863403871,0.0554418250744199,0.94
"40",42,19,9660,0,0.00882211774647496,0.0528846971016016,0.94
"41",43,19,9890,0,-0.0455269432010824,0.0707205279065587,0.89
"42",44,18,9680,0,-0.0221393746760069,0.0434388837948668,0.97
"43",45,18,9900,0,-0.0514646496653242,0.0612051689823883,0.87
"44",46,17,9660,0,0.0503569581683118,0.0444504304458928,0.97
"45",47,17,9870,0,0.00537037199798982,0.050948906375637,0.9
"46",48,16,9600,0,-0.00397335624857578,0.0538793829628907,0.92
"47",49,16,9800,0,-0.0152329425265213,0.0374369785444221,1
"48",50,16,10000,0,-0.0107255335261554,0.0453576773791109,0.93
"49",51,15,9690,0,0.0262662208685134,0.058398388036173,0.94
"50",52,15,9880,0,-0.0365658064428877,0.0436781928874304,0.93
"51",53,14,9540,0,-0.0115488915678429,0.0392601545847841,0.97
"52",54,14,9720,0,-0.0164449444113916,0.0426341553021073,0.96
"53",55,14,9900,0,0.0244268195452439,0.047658438843772,0.92
"54",56,13,9520,0,-0.00790344751598118,0.0436637456113465,0.96
"55",57,13,9690,0,0.00507321782893125,0.0378477754564034,0.96
"56",58,13,9860,0,-0.00877569639899565,0.0254505604741192,1
"57",59,12,9440,0,0.00416274248200813,0.0361904701398237,0.96
"58",60,12,9600,0,0.00795600957099252,0.0367073325310957,0.95
"59",61,12,9760,0,-0.0219984390638536,0.0347760673695418,0.97
"60",62,12,9920,0,0.00162745523402443,0.0295309708761528,0.97
"61",63,11,9450,0,-0.0148583601581479,0.0290768587366662,0.97
"62",64,11,9600,0,-0.00717789457568184,0.0418532136999152,0.94
"63",65,11,9750,0,-0.0143744219606794,0.0291126505186178,0.97
"64",66,11,9900,0,-0.00750333471181704,0.036185438692778,0.96
"65",67,10,9380,0,-0.00857645537737191,0.0373448143290482,0.93
"66",68,10,9520,0,-0.00182350234391163,0.0416979038412381,0.9
"67",69,10,9660,0,-0.0241489651579102,0.0353758478565518,0.96
"68",70,10,9800,0,-0.0203997626614819,0.0279727285648927,0.98
"69",71,10,9940,0,0.00769036687283318,0.0250963337689237,0.98
"70",72,9,9360,0,-0.0261338799112371,0.0358788570715458,0.96
"71",73,9,9490,0,-0.0215078670622423,0.027435876074463,0.99
"72",74,9,9620,0,-0.0191130144843084,0.0342049820922124,0.95
"73",75,9,9750,0,0.0550400582930465,0.0336683205190629,0.93
"74",76,9,9880,0,-0.00330922078722438,0.0359925058826372,0.93
"75",77,8,9240,0,0.01478869299325,0.0297047339982452,0.93
"76",78,8,9360,0,0.0208145533644424,0.0382910822921591,0.92
"77",79,8,9480,0,0.0195913788858016,0.0330563255595869,0.92
"78",80,8,9600,0,0.0165137590578231,0.0256897354367792,0.96
"79",81,8,9720,0,0.0238996003692043,0.0286648964113529,0.94
"80",82,8,9840,0,-0.0103761297369839,0.0281050385963658,0.95
"81",83,8,9960,0,-0.00515837095377514,0.0285893876343025,0.96
"82",84,7,9240,0,0.0421372211694976,0.0307300127137471,0.96
"83",85,7,9350,0,0.0237283043876514,0.0362718309758399,0.91
"84",86,7,9460,0,0.0297528190699076,0.0307030334773275,0.93
"85",87,7,9570,0,-0.0261679318116511,0.0334760022644663,0.97
"86",88,7,9680,0,-0.0110537885309682,0.0322877491416751,0.93
"87",89,7,9790,0,0.0267553255510969,0.0280431248532165,0.96
"88",90,7,9900,0,0.0216584484245148,0.0236489238354829,0.98
"89",91,6,9100,0,-0.0160322735447091,0.0316569493938607,0.95
"90",92,6,9200,0,0.0061071858065939,0.028369524216183,0.96
"91",93,6,9300,0,-0.0153528238940875,0.0375578838375281,0.91
"92",94,6,9400,0,-0.0570398012216477,0.0286602936024754,0.94
"93",95,6,9500,0,0.0254517782838069,0.03363962197058,0.89
"94",96,6,9600,0,-0.0079874707369839,0.0319561538678149,0.94
"95",97,6,9700,0,0.018886988767503,0.0377494176068663,0.89
"96",98,6,9800,0,0.00128136195787573,0.0294085529444258,0.94
"97",99,6,9900,0,-0.0094030309456968,0.0312084229761456,0.91
"98",100,6,10000,0,0.00600903025828948,0.0270112961765888,0.94
"99",101,5,9090,0,0.00960678738200258,0.0322543737483694,0.92
"100",102,5,9180,0,0.00328138486881667,0.0294074630920145,0.95
"101",103,5,9270,0,-0.00466923755743137,0.0230407157841347,0.97
"102",104,5,9360,0,-0.00281362928404321,0.0295196870776889,0.94
"103",105,5,9450,0,-0.0188842943157038,0.0270146890353612,0.97
"104",106,5,9540,0,0.00497366150163113,0.0333674813901247,0.89
"105",107,5,9630,0,-0.0285785181568823,0.0354814922634734,0.91
"106",108,5,9720,0,0.015648990080212,0.0234118671397427,0.97
"107",109,5,9810,0,-0.0114795382125675,0.0261682677753209,0.94
"108",110,5,9900,0,-0.00631853953591542,0.0241174900065875,0.97
"109",111,5,9990,0,-0.0111750234605961,0.0233054204933513,0.96
"110",112,4,8960,0,-0.00779329493265667,0.0238614971206691,0.96
"111",113,4,9040,0,0.00953314736478313,0.0238859412380104,0.94
"112",114,4,9120,0,-0.00779864020923345,0.0282234290710412,0.97
"113",115,4,9200,0,-0.00987829072445758,0.0267869879015446,0.93
"114",116,4,9280,0,-0.0160507639313627,0.0198323269726651,0.97
"115",117,4,9360,0,0.0100602965161241,0.0190712175332492,0.99
"116",118,4,9440,0,-0.00177328127466539,0.0256638113820406,0.95
"117",119,4,9520,0,0.0031821764593738,0.028371277607578,0.91
"118",120,4,9600,0,-0.00606449788649466,0.0328989786637123,0.89
