"","G","R","total_cost","gamma2","bias","mse","coverage"
"1",3,329,9990,0.1,0.0155013053800696,0.134320353711634,0.53
"2",4,246,10000,0.1,-0.022825435817357,0.149152681080934,0.61
"3",5,196,10000,0.1,0.0270430368512624,0.0735034305552795,0.85
"4",6,162,9960,0.1,-0.0397833012304805,0.0913366500406623,0.74
"5",7,138,9940,0.1,-0.0255728533191286,0.0625239934831235,0.83
"6",8,121,10000,0.1,0.0275643055861726,0.0674077492379508,0.78
"7",9,107,9990,0.1,0.00732739764137136,0.0616618123460305,0.89
"8",10,96,10000,0.1,-0.0223863433019984,0.0507871553245141,0.89
"9",11,86,9900,0.1,-0.00982060411261554,0.0437776240725994,0.85
"10",12,79,9960,0.1,-0.033487902248995,0.0307336826693511,0.93
"11",13,72,9880,0.1,0.00246663448860607,0.0333807507640289,0.92
"12",14,67,9940,0.1,0.00942338354889394,0.029639653495446,0.95
"13",15,62,9900,0.1,-0.0357557872508317,0.0362321418299405,0.85
"14",16,58,9920,0.1,0.0035348264042645,0.0358908245335728,0.9
"15",17,54,9860,0.1,-0.0202540733597835,0.0276897964475734,0.92
"16",18,51,9900,0.1,-0.00837229568156811,0.0284833070400174,0.91
"17",19,48,9880,0.1,0.0268114772733553,0.0220464856934212,0.94
"18",20,46,10000,0.1,-0.00394169277157291,0.0281309292767278,0.91
"19",21,43,9870,0.1,0.00985635068958934,0.0278241488534004,0.9
"20",22,41,9900,0.1,-0.00608275586494927,0.0287926311528101,0.9
"21",23,39,9890,0.1,0.0210071868226589,0.0270037168322823,0.86
"22",24,37,9840,0.1,0.00146230096774103,0.0188735780681644,0.96
"23",25,36,10000,0.1,-0.0131119852769019,0.0189965371872941,0.96
"24",26,34,9880,0.1,-0.00362460761400929,0.0148474567930002,0.97
"25",27,33,9990,0.1,7.35763104862119e-05,0.0186845377260538,0.92
"26",28,31,9800,0.1,-0.0117429506716387,0.0215135656390466,0.92
"27",29,30,9860,0.1,0.00871186050364836,0.01977252115786,0.93
"28",30,29,9900,0.1,0.00777723727207491,0.0188387999110556,0.93
"29",31,28,9920,0.1,-0.0227016735176113,0.0161661984826907,0.97
"30",32,27,9920,0.1,0.00749063233209069,0.0146930568086436,0.94
"31",33,26,9900,0.1,0.00477106839329278,0.0187418959505133,0.93
"32",34,25,9860,0.1,0.00255367761452496,0.0170019441248186,0.96
"33",35,24,9800,0.1,-0.00776300227579008,0.018386162151825,0.94
"34",36,23,9720,0.1,0.0203260995852828,0.0123498771487272,0.95
"35",37,23,9990,0.1,-0.0122338120127823,0.0131001233453703,0.96
"36",38,22,9880,0.1,-0.00919547046678526,0.014502752658109,0.93
"37",39,21,9750,0.1,-0.00721126881781226,0.0122551346923337,0.95
"38",40,21,10000,0.1,-0.00496365887950728,0.0159430594145314,0.95
"39",41,20,9840,0.1,-0.00349168175057257,0.0135839906684841,0.95
"40",42,19,9660,0.1,-0.0070961428980364,0.0140702144892539,0.95
"41",43,19,9890,0.1,0.00369999319411407,0.0180598703255243,0.92
"42",44,18,9680,0.1,0.013782352490166,0.0155939462964024,0.94
"43",45,18,9900,0.1,0.0198720481716324,0.0145281463522789,0.93
"44",46,17,9660,0.1,0.00282284611136874,0.0155959773908019,0.92
"45",47,17,9870,0.1,-0.00492386873318906,0.0140291504475441,0.93
"46",48,16,9600,0.1,0.0168811538343515,0.0195962086310624,0.92
"47",49,16,9800,0.1,-0.0100608948294951,0.0112491327613606,0.97
"48",50,16,10000,0.1,0.0195980694716243,0.0139275763450187,0.9
"49",51,15,9690,0.1,-0.0167786771281112,0.0123566802412702,0.97
"50",52,15,9880,0.1,0.00268728635632165,0.0093996393549889,1
"51",53,14,9540,0.1,-0.00592360663070035,0.013571856620438,0.92
"52",54,14,9720,0.1,0.0105393097591161,0.0127698031152902,0.96
"53",55,14,9900,0.1,-0.00490799039474327,0.0106880955457917,0.96
"54",56,13,9520,0.1,0.000978118101363057,0.0106620499629639,0.97
"55",57,13,9690,0.1,0.00675291010974266,0.0115442329230617,0.94
"56",58,13,9860,0.1,0.0100354264801771,0.0113683776251784,0.97
"57",59,12,9440,0.1,-0.000229030848115874,0.0131233326078683,0.92
"58",60,12,9600,0.1,0.0161718388420048,0.0107971058207816,0.92
"59",61,12,9760,0.1,0.00985521183506288,0.0155156354226894,0.9
"60",62,12,9920,0.1,0.00348253258955789,0.0114163688253248,0.94
"61",63,11,9450,0.1,-0.0135056228999882,0.0150211128294976,0.93
"62",64,11,9600,0.1,0.00673687484244756,0.00933386800410973,0.98
"63",65,11,9750,0.1,0.0104797569629742,0.0140220914821026,0.89
"64",66,11,9900,0.1,0.00290741462996202,0.00982221571418876,0.95
"65",67,10,9380,0.1,0.00320372805990554,0.00907958886475475,0.97
"66",68,10,9520,0.1,0.0191990231670419,0.00944139668816576,0.97
"67",69,10,9660,0.1,-0.00646638200664867,0.0128551103364919,0.91
"68",70,10,9800,0.1,0.00816160377382369,0.00825242670522945,0.99
"69",71,10,9940,0.1,-0.00159978050114545,0.00988405791174485,0.95
"70",72,9,9360,0.1,-0.0152777962013649,0.0113647584548685,0.94
"71",73,9,9490,0.1,0.000641965304566838,0.00989918806656882,0.98
"72",74,9,9620,0.1,0.00813308953345748,0.0118780018643722,0.94
"73",75,9,9750,0.1,-0.0116690423998946,0.0106736378683328,0.94
"74",76,9,9880,0.1,-0.011415747872367,0.0137843765602779,0.9
"75",77,8,9240,0.1,0.0184119980286002,0.0140555590312193,0.9
"76",78,8,9360,0.1,-0.00327160094739426,0.0108525037927284,0.95
"77",79,8,9480,0.1,0.0029444834313227,0.0114358635198802,0.91
