"","G","R","total_cost","sigma2","bias","mse","coverage"
"1",3,329,9990,0.1,0.0138047115244909,0.607684835339106,0.56
"2",4,246,10000,0.1,0.0565438641798812,0.503549541978672,0.69
"3",5,196,10000,0.1,0.0329468077126386,0.491851145335848,0.75
"4",6,162,9960,0.1,0.00352005863735616,0.34438591680725,0.75
"5",7,138,9940,0.1,0.0168570472552049,0.270477138280737,0.86
"6",8,121,10000,0.1,0.0231590269451485,0.192381112736712,0.91
"7",9,107,9990,0.1,0.0115567597891506,0.246138834854355,0.81
"8",10,96,10000,0.1,0.036559959141853,0.196783682230659,0.87
"9",11,86,9900,0.1,0.0364059748735913,0.217813654717214,0.85
"10",12,79,9960,0.1,-0.0130486318489608,0.147775069473643,0.94
"11",13,72,9880,0.1,-0.0404680722640364,0.126507096687056,0.93
"12",14,67,9940,0.1,-0.0592883188491075,0.117639971491434,0.96
"13",15,62,9900,0.1,0.0417034299878133,0.127828006730883,0.89
"14",16,58,9920,0.1,-0.0239086506679921,0.1532250166281,0.86
"15",17,54,9860,0.1,0.038502685052611,0.0861944884142358,0.96
"16",18,51,9900,0.1,-0.0232483194343578,0.115434784500942,0.91
"17",19,48,9880,0.1,0.0111419130343642,0.119830366207972,0.92
"18",20,46,10000,0.1,-0.0255807960158355,0.110967681767807,0.91
"19",21,43,9870,0.1,0.0614249801483039,0.105453364130698,0.93
"20",22,41,9900,0.1,-0.0165512652367569,0.102695112694958,0.89
"21",23,39,9890,0.1,-0.0140875788423354,0.0727005258672756,0.96
"22",24,37,9840,0.1,0.0579448414373316,0.0894275291496327,0.9
"23",25,36,10000,0.1,-0.055105588602379,0.0958621180371265,0.9
"24",26,34,9880,0.1,-0.0129914635119969,0.0982110581210787,0.91
"25",27,33,9990,0.1,0.0303474136166947,0.0843788179482112,0.92
"26",28,31,9800,0.1,-0.0133856308891642,0.0823210933570646,0.88
"27",29,30,9860,0.1,-0.015971745995571,0.0632105945815419,0.93
"28",30,29,9900,0.1,-0.00785365446863517,0.0724661065454101,0.93
"29",31,28,9920,0.1,0.0491260770661265,0.0596181235585303,0.96
"30",32,27,9920,0.1,0.0313619237580852,0.058739387958081,0.97
"31",33,26,9900,0.1,0.0242611455063916,0.0757616886712638,0.89
"32",34,25,9860,0.1,0.00733070576016226,0.0739990362101473,0.91
"33",35,24,9800,0.1,-0.0278124740239421,0.0663260172028022,0.95
"34",36,23,9720,0.1,-0.0284782209093276,0.066338590624418,0.92
"35",37,23,9990,0.1,0.0248511155123926,0.0478181274039415,0.97
"36",38,22,9880,0.1,0.0158959294922338,0.0569187185432466,0.92
"37",39,21,9750,0.1,0.00556764931106768,0.061074578976664,0.93
"38",40,21,10000,0.1,-0.0116265373505917,0.0342014115623622,0.98
"39",41,20,9840,0.1,0.0248307735942669,0.0484407082534668,0.94
"40",42,19,9660,0.1,0.0295134454321294,0.0509954707872585,0.93
"41",43,19,9890,0.1,-0.00185582250193872,0.0405258432963885,0.93
"42",44,18,9680,0.1,-0.0236104498324278,0.0583537223912011,0.92
"43",45,18,9900,0.1,-0.0174763754067609,0.0529267237226347,0.93
"44",46,17,9660,0.1,-0.0122110539717359,0.0479661899649071,0.92
"45",47,17,9870,0.1,-0.0299326560739952,0.0498856078422472,0.91
"46",48,16,9600,0.1,0.0103558939433769,0.0463474631674766,0.94
"47",49,16,9800,0.1,-0.0218461677246164,0.0366245042791039,0.95
"48",50,16,10000,0.1,0.0327784153705013,0.0401123541848119,0.95
"49",51,15,9690,0.1,0.0155671483832239,0.0350116373785463,0.96
"50",52,15,9880,0.1,-0.0204735072168922,0.0306056968205334,0.98
"51",53,14,9540,0.1,0.0240452730615556,0.0399753248487565,0.95
"52",54,14,9720,0.1,0.0219185412401569,0.0420374945591657,0.94
"53",55,14,9900,0.1,-0.000747687557750398,0.0375232483482718,0.93
"54",56,13,9520,0.1,0.010504839587411,0.0499618046529731,0.91
"55",57,13,9690,0.1,0.00470158811111432,0.037783962354443,0.93
"56",58,13,9860,0.1,-0.00323360976614467,0.0337650858588658,0.95
"57",59,12,9440,0.1,-0.0118134292038688,0.0234338215171403,0.98
"58",60,12,9600,0.1,0.0151804879820479,0.0357581892266367,0.93
"59",61,12,9760,0.1,0.00707781883303393,0.0346178512213622,0.92
"60",62,12,9920,0.1,0.0102255399657489,0.0412850204616948,0.91
"61",63,11,9450,0.1,0.0178718208404317,0.0331625851352152,0.93
"62",64,11,9600,0.1,0.0119189110779294,0.0356272759794792,0.93
"63",65,11,9750,0.1,-0.0317192869277312,0.0324749044104642,0.96
"64",66,11,9900,0.1,0.0215504203977837,0.0318932033863261,0.97
"65",67,10,9380,0.1,-0.000565583969231787,0.0288518287455223,0.95
"66",68,10,9520,0.1,-0.00994823087949964,0.0302921069400562,0.96
"67",69,10,9660,0.1,-0.00587412733964482,0.0264403312916988,0.98
"68",70,10,9800,0.1,0.0132986156059852,0.0292611458572384,0.94
"69",71,10,9940,0.1,0.0140584273953684,0.0253566754708044,0.96
"70",72,9,9360,0.1,-0.0219487157417643,0.0265313358216076,0.95
"71",73,9,9490,0.1,-0.0141955262488718,0.0227919486692762,0.95
"72",74,9,9620,0.1,-0.00322273490897712,0.0308192057094779,0.91
"73",75,9,9750,0.1,-0.00927707933339028,0.0261207871449579,0.95
"74",76,9,9880,0.1,0.00334647950969158,0.0281516112315714,0.94
"75",77,8,9240,0.1,-0.00967196498429568,0.0275836116550359,0.93
"76",78,8,9360,0.1,-0.0044208590779935,0.0229598772730269,0.95
"77",79,8,9480,0.1,0.0159212109827103,0.0264794036468327,0.96
"78",80,8,9600,0.1,-0.0105076133405265,0.0235925605804739,0.98
"79",81,8,9720,0.1,0.0228420532650501,0.0267368723025027,0.89
"80",82,8,9840,0.1,-0.0117931124813146,0.0264219865560299,0.96
"81",83,8,9960,0.1,0.0149183500579381,0.0265211018774463,0.95
"82",84,7,9240,0.1,0.00227299709372009,0.0194390437159815,0.96
"83",85,7,9350,0.1,-0.010161636911348,0.0235250232196227,0.93
"84",86,7,9460,0.1,-0.00817548046541694,0.0224188312490146,0.97
"85",87,7,9570,0.1,0.0133455305797436,0.0210596463017636,0.95
"86",88,7,9680,0.1,-0.0153938391732528,0.0233082135202425,0.94
"87",89,7,9790,0.1,0.029565172967501,0.023749656754242,0.95
"88",90,7,9900,0.1,0.0300205044841495,0.0201762982127591,0.97
"89",91,6,9100,0.1,-0.00566334818881548,0.0203620308886536,0.96
"90",92,6,9200,0.1,-0.0312770957964973,0.0274160530327102,0.9
"91",93,6,9300,0.1,0.00513123556284678,0.0243135907823233,0.95
"92",94,6,9400,0.1,0.0168403533019886,0.0211833271625828,0.96
"93",95,6,9500,0.1,-0.000320241231896168,0.0237532651737144,0.93
"94",96,6,9600,0.1,-0.00704771748419164,0.0226164562989828,0.96
"95",97,6,9700,0.1,-0.00687061598938765,0.0175852592156214,0.94
"96",98,6,9800,0.1,-0.0100060584170696,0.0182849612152158,0.95
"97",99,6,9900,0.1,0.00212661471379894,0.0192219432714577,0.96
"98",100,6,10000,0.1,-0.0098301039965793,0.0227277724459091,0.96
"99",101,5,9090,0.1,-0.029032737616441,0.0180034938584063,0.98
"100",102,5,9180,0.1,0.0186441640541803,0.0236427072085158,0.9
"101",103,5,9270,0.1,0.00696174440138064,0.0187520726819466,0.95
"102",104,5,9360,0.1,0.0254196635323563,0.0260632097671141,0.92
"103",105,5,9450,0.1,0.00745017558380223,0.0213572260948405,0.94
"104",106,5,9540,0.1,0.00125766898402058,0.0162895912470764,0.98
"105",107,5,9630,0.1,-0.0129863689684017,0.0185968524335616,0.96
"106",108,5,9720,0.1,-0.00483670175574241,0.0169150606967785,0.94
"107",109,5,9810,0.1,0.0016290580775471,0.0206822151729094,0.94
"108",110,5,9900,0.1,-0.00819107805782593,0.0181480177603565,0.93
"109",111,5,9990,0.1,0.00215407152129032,0.0202462122263911,0.91
"110",112,4,8960,0.1,0.0080846171159904,0.017890026842088,0.95
"111",113,4,9040,0.1,-0.0105022012770998,0.0212063099237087,0.93
"112",114,4,9120,0.1,0.0196678241512457,0.0170325625278196,0.95
"113",115,4,9200,0.1,-0.00455638115646617,0.0181128952187792,0.94
"114",116,4,9280,0.1,-0.00931203811952713,0.0166682698523238,0.96
"115",117,4,9360,0.1,-0.00225034785469486,0.0173841339537359,0.96
"116",118,4,9440,0.1,0.00849846772074692,0.0151038934531933,0.97
"117",119,4,9520,0.1,-0.0130022486273945,0.0164387476691981,0.92
"118",120,4,9600,0.1,0.00576210383071896,0.0187982097692697,0.92
"119",121,4,9680,0.1,0.00245266895618068,0.0213478108349747,0.91
"120",122,4,9760,0.1,0.00145660841005957,0.0163575090019662,0.96
"121",123,4,9840,0.1,-0.0194064935009912,0.0162477460837496,0.94
"122",124,4,9920,0.1,0.0268595525623688,0.0195992584968689,0.91
"123",125,4,10000,0.1,0.0136915593156136,0.0148774970602658,0.96
"124",126,3,8820,0.1,-0.0143980612442883,0.0153836176622135,0.95
"125",127,3,8890,0.1,0.00610585020259924,0.0217003871362366,0.92
"126",128,3,8960,0.1,-0.00706565668478415,0.0163569511699508,0.96
"127",129,3,9030,0.1,0.00839327562897896,0.0199488793281557,0.91
"128",130,3,9100,0.1,0.0142176540308795,0.0178999053259749,0.95
"129",131,3,9170,0.1,-0.0253143094294422,0.01802766976091,0.92
"130",132,3,9240,0.1,0.00495746188927981,0.0122803057144166,0.98
"131",133,3,9310,0.1,0.0033415923769512,0.0135217656749954,0.96
"132",134,3,9380,0.1,0.0182053634733216,0.0209142535899855,0.89
"133",135,3,9450,0.1,0.00231509641559136,0.0137004443705564,0.97
"134",136,3,9520,0.1,-0.00839792179430848,0.0185551635550888,0.92
"135",137,3,9590,0.1,-0.0304717299790252,0.0146770003341021,0.93
"136",138,3,9660,0.1,0.0181746944032037,0.0138424391378987,0.96
"137",139,3,9730,0.1,-0.017876241176304,0.0119727894865022,0.98
"138",140,3,9800,0.1,-0.0114086042910452,0.0148350768654376,0.95
"139",141,3,9870,0.1,-0.0036658967795587,0.0173741821954611,0.93
"140",142,3,9940,0.1,0.00465807517628658,0.0136816740787616,0.94
"141",143,2,8580,0.1,0.0177216269425777,0.0144835390598678,0.96
"142",144,2,8640,0.1,0.0131609945876087,0.0154051105978107,0.99
"143",145,2,8700,0.1,-0.02013219806907,0.0146504240209912,0.95
"144",146,2,8760,0.1,0.0079818400377184,0.0148923775081582,0.97
"145",147,2,8820,0.1,-0.00805218183292677,0.0121375149371635,0.96
"146",148,2,8880,0.1,-0.00712440357943839,0.0179285108343099,0.92
"147",149,2,8940,0.1,-0.0124160663521398,0.0119082642665384,0.98
"148",150,2,9000,0.1,0.0108535728082803,0.015270353587319,0.98
"149",151,2,9060,0.1,-0.00968251750984428,0.0157951223451635,0.93
"150",152,2,9120,0.1,0.00277821332431116,0.0140732228167096,0.96
"151",153,2,9180,0.1,0.00249719916991431,0.0156995864223288,0.95
"152",154,2,9240,0.1,0.00537994037348855,0.0144947693278577,0.94
"153",155,2,9300,0.1,-0.0121081168494961,0.0143825979828824,0.98
"154",156,2,9360,0.1,0.0041738612801272,0.0148371140006175,0.93
"155",157,2,9420,0.1,-0.021393494245104,0.0140834167894573,0.93
"156",158,2,9480,0.1,0.00513967221654488,0.0145077323739998,0.94
"157",159,2,9540,0.1,0.00902886633548705,0.0140372524599909,0.95
"158",160,2,9600,0.1,0.0133398587851941,0.0131744788626679,0.94
"159",161,2,9660,0.1,0.00395125096890081,0.0111271561721136,0.95
"160",162,2,9720,0.1,-0.0116360522852748,0.0135510268437328,0.94
"161",163,2,9780,0.1,0.00796792452751927,0.0135295757834565,0.93
"162",164,2,9840,0.1,-0.0302233035058537,0.0155880468929158,0.94
"163",165,2,9900,0.1,0.00472786981067563,0.0121557236062271,0.97
"164",166,2,9960,0.1,-0.00827669916780926,0.0119522720054035,0.95
"165",167,1,8350,0.1,0.00647927749765032,0.0183204388860232,0.9
"166",168,1,8400,0.1,-0.00595891530590109,0.0146428183376153,0.93
"167",169,1,8450,0.1,-0.00786361332793645,0.0131613617363661,0.93
"168",170,1,8500,0.1,0.0105089496547892,0.0154860102864669,0.9
"169",171,1,8550,0.1,-0.00881047045076611,0.0165611715194767,0.92
"170",172,1,8600,0.1,-0.00601302301415851,0.013626838262892,0.97
"171",173,1,8650,0.1,0.00607930206471063,0.0118142942329507,0.95
"172",174,1,8700,0.1,-0.00289980428670938,0.0122513236706722,0.97
"173",175,1,8750,0.1,0.000794947445961536,0.0145772615527347,0.94
"174",176,1,8800,0.1,-0.0343551945622733,0.0166925168312216,0.93
"175",177,1,8850,0.1,-0.010566565566207,0.016282663184082,0.94
"176",178,1,8900,0.1,0.00467075028218711,0.012286581723311,0.95
"177",179,1,8950,0.1,0.00258660280327405,0.0134142909224597,0.94
"178",180,1,9000,0.1,-0.010049579047222,0.0109002532964933,0.99
"179",181,1,9050,0.1,-0.00123131109719504,0.0152041112818223,0.91
"180",182,1,9100,0.1,0.000749820117899591,0.0146873634412539,0.94
"181",183,1,9150,0.1,-0.00445044422303309,0.0135556088851917,0.91
"182",184,1,9200,0.1,0.0112548916016115,0.0130776377206182,0.95
"183",185,1,9250,0.1,0.000508531631622233,0.00950505232030247,0.99
"184",186,1,9300,0.1,-0.00587028143381441,0.0131303833284557,0.94
"185",187,1,9350,0.1,0.00201282916805345,0.0120642841934543,0.93
"186",188,1,9400,0.1,0.00739927326653012,0.0111331033825171,0.96
"187",189,1,9450,0.1,-0.0104654809678223,0.0161104073918487,0.9
"188",190,1,9500,0.1,0.01187509746579,0.0133830503746548,0.95
"189",191,1,9550,0.1,-0.00255850874086083,0.0141273748526194,0.94
"190",192,1,9600,0.1,-0.00129414211232914,0.0152874304881855,0.9
"191",193,1,9650,0.1,0.0182164883677398,0.0121830816747624,0.95
"192",194,1,9700,0.1,0.0142384697760722,0.0115134087265776,0.97
"193",195,1,9750,0.1,-0.00750006297376632,0.0112082801134016,0.93
"194",196,1,9800,0.1,-0.00590048858428815,0.0138689697805165,0.94
"195",197,1,9850,0.1,-0.0157952347051965,0.0110925761730753,0.96
"196",198,1,9900,0.1,0.0172627131960588,0.0108550808042638,0.97
"197",199,1,9950,0.1,0.0147358075161963,0.0142897183136763,0.93
"198",200,1,10000,0.1,0.00293104159434987,0.0107336368634751,0.96
"199",3,329,9990,0.3,-0.0592577232663921,0.885666140002039,0.5
"200",4,246,10000,0.3,-0.0199208104037663,0.635599640801738,0.65
"201",5,196,10000,0.3,0.1012056722572,0.504560972665619,0.74
"202",6,162,9960,0.3,-0.0698881595643242,0.4983083776639,0.76
"203",7,138,9940,0.3,-0.0414174729890867,0.242833869346283,0.88
"204",8,121,10000,0.3,0.00447464646191875,0.368878342732452,0.82
"205",9,107,9990,0.3,-0.10074597796439,0.333664415808734,0.82
"206",10,96,10000,0.3,-0.0363702182792464,0.282293381139298,0.84
