"","G","R","total_cost","gamma2","bias","mse","coverage"
"1",3,329,9990,0.1,0.00674541442734833,0.134534192653345,0.51
"2",4,246,10000,0.1,-0.0753241719280155,0.145267608150342,0.64
"3",5,196,10000,0.1,0.00285388030504674,0.0802276314388334,0.78
"4",6,162,9960,0.1,-0.0208951116277895,0.0606700879785479,0.78
"5",7,138,9940,0.1,-0.0131238826766562,0.0866749252002596,0.71
"6",8,121,10000,0.1,-0.0122788013303173,0.0449806023968076,0.91
"7",9,107,9990,0.1,-0.0385270124702614,0.054570344719645,0.87
"8",10,96,10000,0.1,0.00696743818047285,0.0402209590943369,0.84
"9",11,86,9900,0.1,-0.0257484813001345,0.0522256193292536,0.85
"10",12,79,9960,0.1,-0.00564432206155707,0.0355735119313862,0.89
"11",13,72,9880,0.1,-0.0038537174066966,0.0251682499329744,0.9
"12",14,67,9940,0.1,0.00519222533017127,0.0349865986760249,0.9
"13",15,62,9900,0.1,0.00693370245304015,0.0257784597152327,0.91
"14",16,58,9920,0.1,-0.019646616055735,0.0247929146866468,0.95
"15",17,54,9860,0.1,-0.00400491462357389,0.0272953752961246,0.94
"16",18,51,9900,0.1,0.0208965401914798,0.0202506927044039,0.93
"17",19,48,9880,0.1,-0.0106580544804353,0.0278706594177249,0.88
"18",20,46,10000,0.1,-0.00988909626043288,0.0209756353554463,0.94
"19",21,43,9870,0.1,-0.0281551726422441,0.0275696686834927,0.85
"20",22,41,9900,0.1,-0.00798687774346929,0.0234138110702575,0.89
"21",23,39,9890,0.1,-0.0228970670621041,0.01729368076827,0.93
"22",24,37,9840,0.1,0.0087836072375651,0.0217908730729967,0.9
"23",25,36,10000,0.1,0.00113017570360785,0.0158581569872651,0.93
"24",26,34,9880,0.1,0.0028894638398298,0.0149600502561908,0.95
"25",27,33,9990,0.1,0.00691417902424274,0.0165510708791089,0.91
"26",28,31,9800,0.1,-0.00827257177901741,0.0119073180486519,0.97
"27",29,30,9860,0.1,-0.0110689423031819,0.0153415572338415,0.93
"28",30,29,9900,0.1,0.00803872152519924,0.0108084843790894,0.98
"29",31,28,9920,0.1,0.00366063605543432,0.0131394404351811,0.94
"30",32,27,9920,0.1,0.0131927998034246,0.0156943672790775,0.94
"31",33,26,9900,0.1,-0.002966921833852,0.0139249080040132,0.95
"32",34,25,9860,0.1,-0.0100094219705136,0.0117851125793898,0.96
"33",35,24,9800,0.1,0.00853545984731396,0.00862980552215638,0.96
"34",36,23,9720,0.1,-0.0053193575139554,0.0108926587483839,0.95
"35",37,23,9990,0.1,0.00210751392788711,0.0117686799908542,0.95
"36",38,22,9880,0.1,0.0135506150831116,0.00890726791106844,0.96
"37",39,21,9750,0.1,0.0174044624412134,0.0122763410250741,0.9
"38",40,21,10000,0.1,-0.0169995340876158,0.00993689360091998,0.98
"39",41,20,9840,0.1,-0.00772223722080101,0.00824423806833167,0.96
"40",42,19,9660,0.1,-0.000550483967859949,0.00925462949673834,0.96
"41",43,19,9890,0.1,0.0120439337826023,0.00862799587483716,0.97
"42",44,18,9680,0.1,-0.00388149135354943,0.00900641730317848,0.92
"43",45,18,9900,0.1,0.00620182746035325,0.0081058682742841,0.93
"44",46,17,9660,0.1,0.00262992313439903,0.0126955450345901,0.89
"45",47,17,9870,0.1,0.00240609326976182,0.0111819687258052,0.9
"46",48,16,9600,0.1,0.00569345397654764,0.00855355656425327,0.97
"47",49,16,9800,0.1,0.0027340824837907,0.00780966683956529,0.96
"48",50,16,10000,0.1,0.0138506101294329,0.00988895789295361,0.91
"49",51,15,9690,0.1,-0.000300957803060553,0.00962898959601836,0.88
"50",52,15,9880,0.1,-0.0157011597256447,0.0107925773993673,0.87
"51",53,14,9540,0.1,-0.00259008022127832,0.00776564857981611,0.98
"52",54,14,9720,0.1,0.0074864626290041,0.0093361978875225,0.91
