"","G","R","total_cost","sigma2","bias","mse","coverage"
"1",3,329,9990,0.1,0.124503829569864,0.831759707465959,0.44
"2",4,246,10000,0.1,-0.0431369248340232,0.619291464074167,0.68
"3",5,196,10000,0.1,0.0278452675225477,0.426783876651339,0.7
"4",6,162,9960,0.1,-0.0569605343329758,0.404270378234013,0.67
"5",7,138,9940,0.1,0.00305482678510482,0.36655682675688,0.74
"6",8,121,10000,0.1,-0.112286060462743,0.325874312549061,0.78
"7",9,107,9990,0.1,-0.0709507744801413,0.268717620633284,0.85
"8",10,96,10000,0.1,-0.0479484460885477,0.290354641704585,0.86
"9",11,86,9900,0.1,-0.0330533499090752,0.190338767517482,0.9
"10",12,79,9960,0.1,-0.0141157317479889,0.227048564201785,0.88
"11",13,72,9880,0.1,-0.0239035244384331,0.208894426502094,0.88
"12",14,67,9940,0.1,0.0194781616573481,0.174248509436659,0.91
"13",15,62,9900,0.1,-0.0233208283555904,0.180873252127717,0.9
"14",16,58,9920,0.1,0.0554918186485472,0.161737341627227,0.93
"15",17,54,9860,0.1,0.0338804665769771,0.152115407611488,0.88
"16",18,51,9900,0.1,-0.00187800508279179,0.151912806483268,0.87
"17",19,48,9880,0.1,-0.0849462802868011,0.144938077378799,0.91
"18",20,46,10000,0.1,-0.0545013078318042,0.122682762108161,0.91
"19",21,43,9870,0.1,0.0411188050499491,0.134754992770917,0.85
"20",22,41,9900,0.1,0.00945511510372743,0.12252961815776,0.9
"21",23,39,9890,0.1,-0.028541322714142,0.113963685146754,0.9
"22",24,37,9840,0.1,0.00428069303516132,0.07781578865991,0.91
"23",25,36,10000,0.1,-0.0138156995283942,0.0865820412140864,0.94
"24",26,34,9880,0.1,0.0271417592466278,0.0739547488769382,0.97
"25",27,33,9990,0.1,0.0481570126107835,0.091251847147353,0.91
"26",28,31,9800,0.1,-0.015143072189595,0.109871771744405,0.89
"27",29,30,9860,0.1,0.0305705801789343,0.0977984373209315,0.92
"28",30,29,9900,0.1,-0.0194705737765821,0.0813891593786414,0.92
"29",31,28,9920,0.1,-0.0116372961820482,0.0685567152545735,0.99
"30",32,27,9920,0.1,0.00792227723847749,0.0793707847266347,0.92
"31",33,26,9900,0.1,-0.0201613444903639,0.0939617600045998,0.91
"32",34,25,9860,0.1,0.00551211838163368,0.067357793880297,0.91
"33",35,24,9800,0.1,0.0258121219993755,0.0661427229489175,0.96
"34",36,23,9720,0.1,0.0408073705631281,0.0715003029461808,0.92
"35",37,23,9990,0.1,0.00801655057195527,0.0459947212832693,0.96
"36",38,22,9880,0.1,0.014390920072466,0.0676615225111383,0.91
"37",39,21,9750,0.1,0.00701595621282869,0.0490964451624638,0.95
"38",40,21,10000,0.1,-0.00876917890613549,0.0466766938269754,0.93
"39",41,20,9840,0.1,0.000364033553315157,0.0700385160941335,0.89
"40",42,19,9660,0.1,-0.0415323742727195,0.0432475439907949,0.98
"41",43,19,9890,0.1,0.026951175814946,0.0728245311830164,0.91
"42",44,18,9680,0.1,0.00816739612446482,0.0617273284690231,0.93
"43",45,18,9900,0.1,0.000120639262616407,0.0477565193730555,0.94
"44",46,17,9660,0.1,0.0186219736403463,0.0479539825619269,0.93
"45",47,17,9870,0.1,0.0259771519713807,0.0537569881627355,0.92
"46",48,16,9600,0.1,0.0103904077854797,0.0534016566595595,0.95
"47",49,16,9800,0.1,0.00280502424544327,0.0482450205900921,0.94
"48",50,16,10000,0.1,0.019026956900994,0.0465913520362785,0.95
"49",51,15,9690,0.1,0.0248403169691983,0.0494063676826368,0.93
"50",52,15,9880,0.1,-0.00345784539502098,0.0444412060345473,0.95
"51",53,14,9540,0.1,0.0358167624225352,0.0509496291702284,0.89
"52",54,14,9720,0.1,-0.00207388586275742,0.0337168058164942,0.98
"53",55,14,9900,0.1,-0.00745691235643481,0.0436672002056737,0.96
"54",56,13,9520,0.1,-0.0263536427165805,0.049036170069431,0.92
"55",57,13,9690,0.1,0.00558929638996719,0.0408371037980054,0.94
"56",58,13,9860,0.1,-0.0027273785086856,0.0460366705741355,0.92
"57",59,12,9440,0.1,-0.00128631931202672,0.0436666881469944,0.95
"58",60,12,9600,0.1,0.0283029738277611,0.050147945060514,0.91
"59",61,12,9760,0.1,-0.0135638282599261,0.0497750988570695,0.92
"60",62,12,9920,0.1,0.0037290781599898,0.0355608896635369,0.95
"61",63,11,9450,0.1,0.0171469414715371,0.0387412310939006,0.94
"62",64,11,9600,0.1,-0.00842050624109614,0.0453072892007979,0.89
"63",65,11,9750,0.1,-0.0346222283128453,0.0492450766880407,0.88
"64",66,11,9900,0.1,-0.0241764613099733,0.0301605483569632,0.98
"65",67,10,9380,0.1,0.0189594365301363,0.0350325593914488,0.95
"66",68,10,9520,0.1,-0.00285910608122286,0.0340537258975582,0.93
"67",69,10,9660,0.1,-0.0249734089274815,0.0498874078278226,0.88
"68",70,10,9800,0.1,-0.0040945522214092,0.0421005109303624,0.89
"69",71,10,9940,0.1,-9.8996778509497e-05,0.0400210142321114,0.94
"70",72,9,9360,0.1,0.00380361306419752,0.036034244201943,0.88
"71",73,9,9490,0.1,0.00293123692450015,0.0412698220764244,0.9
"72",74,9,9620,0.1,0.00247379146653381,0.034174027176818,0.93
"73",75,9,9750,0.1,-0.00803303808416211,0.0325661560299582,0.93
"74",76,9,9880,0.1,0.00973833310135497,0.0304642987547665,0.95
"75",77,8,9240,0.1,-0.00543368786870052,0.0348505316664071,0.96
"76",78,8,9360,0.1,-0.000542641556500745,0.0340001864185013,0.92
"77",79,8,9480,0.1,-0.00937407218516134,0.0306973798941102,0.95
"78",80,8,9600,0.1,0.00168799366966199,0.0376453649646066,0.91
"79",81,8,9720,0.1,0.0101587194222208,0.0229418185648278,0.97
"80",82,8,9840,0.1,0.00285894930569053,0.0289842912082181,0.95
"81",83,8,9960,0.1,-0.0252937587829402,0.0271988630974043,0.93
"82",84,7,9240,0.1,-0.0202232455216274,0.0273488706785347,0.96
"83",85,7,9350,0.1,0.0424901257247202,0.031481459001297,0.92
